Model,Clusters,Coverage,Noise customers,Silhouette,Davies-Bouldin,Calinski-Harabasz,Status,Eligible,Rank score
K-Means,4,1.0,0,0.3729724397784269,1.006331014145859,1330.1009514586606,Valid,True,1.6666666666666667
Agglomerative,4,1.0,0,0.3688910049211801,0.9797480259129849,1237.667800882819,Valid,True,2.0
DBSCAN,3,0.848,304,0.34217744301473674,1.002146724561533,880.5822969581483,Valid,True,3.9413333333333336
Gaussian Mixture,4,1.0,0,0.3548607249137003,1.059427448240832,1246.7152160347416,Valid,True,3.0
